Spigot, Inc.|58
Mindspark Interactive Network|138
Brightcircle Investments Limited|79
Search Results, LLC|28
APN LLC|14
Nitro PDF Software|26
INSTALL MANAGER LIMITED|30
OOO DIGITAL VEI|30
Alexander Avdonin|46
Rainmaker Software Group LLC|20
Slimware Utilities Holdings, Inc.|20
ShopAtHome.com (Belcaro Group, Inc.)|79
ShopAtHome.com|79
Coupons, Inc.|36
Ask.com|14
Somoto Ltd.|41
Ammyy|38
SweetIM Technologies Ltd|76
Canneverbe Limited|75
Mooii Tech|42
WinZip Computing|170
Swift Record|12
Malware Protection Live|5
Chinery & Heindoerfer GbR|20
ClientConnect LTD|94
dobreprogramy sp. z o.o.|111
ShenZhen Enode Techology co,.Ltd|16
Cloud Software|14
GMGP, LLC|17
Tencent Technology(Shenzhen) Company Limited|4
Purch|47
Compete Inc|91
Systweak Software|25
Downloadius S.a.r.l|59
Bitberry Software ApS|27
Koyote-Lab Inc.|13
Uniblue Systems|65
Mezaa|80
Linkury Ltd|29
Verti Technology Group, Inc.|31
ESSENTWARE S.A.|36
lookinglink|15
Wolters Kluwer U.S Corporation|32
CHENGDU YIWO Tech Development Co., Ltd.|58
Anvsoft Inc.|59
GRETECH|60
GamerForest|7
PriceMeter|40
Conduit Ltd.|145
WeatherBug|12
MySearchDial|23
Bandoo Media Inc|36
Coupons Inc.|105
SpeedyPC Software|15
